,applicant_job_title,official_record_job_title,status,rule
192,lead sales,lead web designing,True,Rule 6 (Invalid title)
193,jr database,trainee business analyst,True,Rule 6 (Invalid title)
194,sr,lead civil engineer,True,Rule 6 (Invalid title)
195,senior hr,intern devops engineer,True,Rule 6 (Invalid title)
196,sr,trainee sales,True,Rule 6 (Invalid title)
197,mid health fitness,lead data science,True,Rule 6 (Invalid title)
198,jr testing,trainee testing,True,Rule 3 (Exact / near match)
199,developer,senior hr,True,Rule 6 (Invalid title)
200,developer,trainee sales,True,Rule 6 (Invalid title)
201,intern business analyst,junior n/a,True,Rule 6 (Invalid title)
202,middle operations manager,junior automation testing,True,Rule 6 (Invalid title)
203,intern,trainee n/a,True,Rule 6 (Invalid title)
204,mid testing,sr dotnet developer,True,Rule 6 (Invalid title)
205,intern operations manager,sr data science,True,Rule 6 (Invalid title)
206,hr,lead hr,True,Rule 3 (Exact / near match)
207,operations manager,middle health fitness,True,Rule 6 (Invalid title)
208,n/a,middle advocate,True,Rule 6 (Invalid title)
209,mid automation testing,trainee operations manager,True,Rule 6 (Invalid title)
210,middle mechanical engineer,lead web designing,True,Rule 6 (Invalid title)
211,jr,intern web designing,True,Rule 6 (Invalid title)
212,senior devops engineer,trainee devops engineer,True,Rule 3 (Exact / near match)
213,jr developer,mid automation testing,True,Rule 6 (Invalid title)
214,jr testing,trainee devops engineer,True,Rule 6 (Invalid title)
215,junior operations manager,trainee,True,Rule 6 (Invalid title)
216,intern devops engineer,lead hr,True,Rule 6 (Invalid title)
217,jr data science,senior business analyst,True,Rule 6 (Invalid title)
218,intern,sr operations manager,True,Rule 6 (Invalid title)
219,jr network security engineer,intern arts,True,Rule 6 (Invalid title)
220,senior developer,trainee sales,True,Rule 6 (Invalid title)
221,intern testing,intern operations manager,True,Rule 6 (Invalid title)
222,senior n/a,mid web designing,True,Rule 6 (Invalid title)
223,mechanical engineer,senior mechanical engineer,True,Rule 3 (Exact / near match)
224,intern arts,junior health fitness,True,Rule 6 (Invalid title)
225,lead automation testing,trainee automation testing,True,Rule 3 (Exact / near match)
226,operations manager,senior hr,True,Rule 6 (Invalid title)
227,hr,senior testing,True,Rule 6 (Invalid title)
228,lead web designing,lead data science,True,Rule 6 (Invalid title)
229,web designing,middle dotnet developer,True,Rule 6 (Invalid title)
230,testing,trainee data science,True,Rule 6 (Invalid title)
231,senior arts,senior mechanical engineer,True,Rule 6 (Invalid title)
232,jr civil engineer,intern database,True,Rule 6 (Invalid title)
233,mid health fitness,junior data science,True,Rule 6 (Invalid title)
234,sr data science,sr operations manager,True,Rule 6 (Invalid title)
235,sr database,lead data science,True,Rule 6 (Invalid title)
236,senior web designing,mid n/a,True,Rule 6 (Invalid title)
237,mid automation testing,junior hr,True,Rule 6 (Invalid title)
238,devops engineer,trainee data science,True,Rule 6 (Invalid title)
239,jr n/a,trainee civil engineer,True,Rule 6 (Invalid title)
240,mid dotnet developer,intern dotnet developer,True,Rule 3 (Exact / near match)
241,,middle arts,True,Rule 6 (Invalid title)
242,mid hr,lead advocate,True,Rule 6 (Invalid title)
243,senior health fitness,mid civil engineer,True,Rule 6 (Invalid title)
244,intern automation testing,junior civil engineer,True,Rule 6 (Invalid title)
245,senior blockchain,lead n/a,True,Rule 6 (Invalid title)
246,intern,lead mechanical engineer,True,Rule 6 (Invalid title)
247,sr data science,lead n/a,True,Rule 6 (Invalid title)
248,jr hr,junior developer,True,Rule 6 (Invalid title)
249,jr testing,trainee,True,Rule 6 (Invalid title)
250,middle web designing,intern mechanical engineer,True,Rule 6 (Invalid title)
251,senior business analyst,middle data science,True,Rule 6 (Invalid title)
252,devops engineer,lead blockchain,True,Rule 6 (Invalid title)
253,lead business analyst,trainee automation testing,True,Rule 6 (Invalid title)
254,n/a,middle network security engineer,True,Rule 6 (Invalid title)
255,middle data science,sr data science,True,Rule 3 (Exact / near match)
256,devops engineer,intern n/a,True,Rule 6 (Invalid title)
257,hr,senior business analyst,True,Rule 6 (Invalid title)
258,sr web designing,junior advocate,True,Rule 6 (Invalid title)
259,sr network security engineer,junior health fitness,True,Rule 6 (Invalid title)
260,junior mechanical engineer,trainee data science,True,Rule 6 (Invalid title)
261,jr devops engineer,mid health fitness,True,Rule 6 (Invalid title)
262,devops engineer,mid testing,True,Rule 6 (Invalid title)
263,sr operations manager,trainee,True,Rule 6 (Invalid title)
264,health fitness,middle automation testing,True,Rule 6 (Invalid title)
265,jr testing,senior mechanical engineer,True,Rule 6 (Invalid title)
266,civil engineer,trainee automation testing,True,Rule 6 (Invalid title)
267,civil engineer,lead database,True,Rule 6 (Invalid title)
268,senior data science,lead hr,True,Rule 6 (Invalid title)
269,mid mechanical engineer,junior hr,True,Rule 6 (Invalid title)
270,jr web designing,middle operations manager,True,Rule 6 (Invalid title)
271,senior devops engineer,middle arts,True,Rule 6 (Invalid title)
272,data science,intern,True,Rule 6 (Invalid title)
273,health fitness,sr n/a,True,Rule 6 (Invalid title)
274,mid blockchain,junior health fitness,True,Rule 6 (Invalid title)
275,junior arts,lead business analyst,True,Rule 6 (Invalid title)
276,middle arts,mid sales,True,Rule 6 (Invalid title)
277,senior automation testing,trainee data science,True,Rule 6 (Invalid title)
278,senior,intern devops engineer,True,Rule 6 (Invalid title)
279,middle data science,junior advocate,True,Rule 6 (Invalid title)
280,senior arts,sr dotnet developer,True,Rule 6 (Invalid title)
281,senior health fitness,intern database,True,Rule 6 (Invalid title)
282,mid n/a,junior developer,True,Rule 6 (Invalid title)
283,jr database,sr operations manager,True,Rule 6 (Invalid title)
284,middle business analyst,mid n/a,True,Rule 6 (Invalid title)
285,intern mechanical engineer,junior hr,True,Rule 6 (Invalid title)
286,middle arts,middle network security engineer,True,Rule 6 (Invalid title)
287,automation testing,sr network security engineer,True,Rule 6 (Invalid title)
288,sales,mid mechanical engineer,True,Rule 6 (Invalid title)
289,intern health fitness,intern developer,True,Rule 6 (Invalid title)
290,operations manager,junior health fitness,True,Rule 6 (Invalid title)
291,automation testing,junior developer,True,Rule 6 (Invalid title)
292,junior blockchain,trainee devops engineer,True,Rule 6 (Invalid title)
293,senior web designing,middle civil engineer,True,Rule 6 (Invalid title)
294,sr developer,junior web designing,True,Rule 6 (Invalid title)
295,lead testing,trainee,True,Rule 6 (Invalid title)
296,jr database,trainee arts,True,Rule 6 (Invalid title)
297,middle testing,junior testing,True,Rule 3 (Exact / near match)
298,automation testing,operations manager,True,Rule 6 (Invalid title)
299,senior hr,junior devops engineer,True,Rule 6 (Invalid title)
300,mid web designing,lead civil engineer,True,Rule 6 (Invalid title)
301,senior blockchain,lead web designing,True,Rule 6 (Invalid title)
302,jr devops engineer,intern n/a,True,Rule 6 (Invalid title)
303,intern dotnet developer,lead automation testing,True,Rule 6 (Invalid title)
304,lead database,trainee mechanical engineer,True,Rule 6 (Invalid title)
305,middle database,middle testing,True,Rule 6 (Invalid title)
306,junior civil engineer,trainee testing,True,Rule 6 (Invalid title)
307,sales,senior data science,True,Rule 6 (Invalid title)
308,middle web designing,trainee developer,True,Rule 6 (Invalid title)
309,blockchain,intern database,True,Rule 6 (Invalid title)
310,jr advocate,intern,True,Rule 6 (Invalid title)
311,senior health fitness,middle hr,True,Rule 6 (Invalid title)
312,jr sales,intern testing,True,Rule 6 (Invalid title)
313,jr,jr automation testing,True,Rule 6 (Invalid title)
314,jr hr,lead developer,True,Rule 6 (Invalid title)
315,senior testing,mid business analyst,True,Rule 6 (Invalid title)
316,senior blockchain,middle sales,True,Rule 6 (Invalid title)
317,senior sales,junior devops engineer,True,Rule 6 (Invalid title)
318,middle health fitness,lead database,True,Rule 6 (Invalid title)
319,senior,mid hr,True,Rule 6 (Invalid title)
320,senior mechanical engineer,trainee testing,True,Rule 6 (Invalid title)
321,sr testing,trainee hr,True,Rule 6 (Invalid title)
322,sr arts,junior developer,True,Rule 6 (Invalid title)
323,senior n/a,sr business analyst,True,Rule 6 (Invalid title)
324,hr,middle business analyst,True,Rule 6 (Invalid title)
325,testing,junior testing,True,Rule 3 (Exact / near match)
326,lead operations manager,trainee data science,True,Rule 6 (Invalid title)
327,senior developer,mid arts,True,Rule 6 (Invalid title)
328,arts,senior database,True,Rule 6 (Invalid title)
329,,intern civil engineer,True,Rule 6 (Invalid title)
330,middle automation testing,middle health fitness,True,Rule 6 (Invalid title)
331,jr database,sr testing,True,Rule 6 (Invalid title)
332,senior mechanical engineer,mid mechanical engineer,True,Rule 3 (Exact / near match)
333,jr n/a,mid testing,True,Rule 6 (Invalid title)
334,intern arts,intern health fitness,True,Rule 6 (Invalid title)
335,intern web designing,sr database,True,Rule 6 (Invalid title)
336,sales,intern database,True,Rule 6 (Invalid title)
337,trainee sales,trainee automation testing,True,Rule 6 (Invalid title)
338,mechanical engineer,senior data science,True,Rule 6 (Invalid title)
339,jr arts,junior hr,True,Rule 6 (Invalid title)
340,lead data science,trainee health fitness,True,Rule 6 (Invalid title)
341,dotnet developer,lead sales,True,Rule 6 (Invalid title)
342,mid web designing,lead web designing,True,Rule 3 (Exact / near match)
343,jr arts,intern operations manager,True,Rule 6 (Invalid title)
344,intern web designing,trainee devops engineer,True,Rule 6 (Invalid title)
345,jr database,jr civil engineer,True,Rule 6 (Invalid title)
346,data science,lead advocate,True,Rule 6 (Invalid title)
347,middle advocate,junior blockchain,True,Rule 6 (Invalid title)
348,mid sales,sr testing,True,Rule 6 (Invalid title)
349,data science,intern advocate,True,Rule 6 (Invalid title)
350,middle blockchain,lead,True,Rule 6 (Invalid title)
351,senior sales,sr automation testing,True,Rule 6 (Invalid title)
352,senior n/a,middle mechanical engineer,True,Rule 6 (Invalid title)
353,blockchain,middle blockchain,True,Rule 3 (Exact / near match)
354,middle operations manager,sr sales,True,Rule 6 (Invalid title)
355,mid health fitness,junior dotnet developer,True,Rule 6 (Invalid title)
356,jr hr,junior devops engineer,True,Rule 6 (Invalid title)
357,senior arts,middle advocate,True,Rule 6 (Invalid title)
358,jr n/a,sr advocate,True,Rule 6 (Invalid title)
359,jr health fitness,senior business analyst,True,Rule 6 (Invalid title)
360,mid testing,lead database,True,Rule 6 (Invalid title)
361,database,middle database,True,Rule 3 (Exact / near match)
362,jr health fitness,intern network security engineer,True,Rule 6 (Invalid title)
363,middle civil engineer,sr automation testing,True,Rule 6 (Invalid title)
364,mid testing,junior dotnet developer,True,Rule 6 (Invalid title)
365,senior devops engineer,lead data science,True,Rule 6 (Invalid title)
366,senior health fitness,junior sales,True,Rule 6 (Invalid title)
367,jr devops engineer,trainee database,True,Rule 6 (Invalid title)
368,jr,middle dotnet developer,True,Rule 6 (Invalid title)
369,mid data science,junior sales,True,Rule 6 (Invalid title)
370,data science,middle arts,True,Rule 6 (Invalid title)
371,intern blockchain,trainee hr,True,Rule 6 (Invalid title)
372,senior database,intern n/a,True,Rule 6 (Invalid title)
373,jr blockchain,sr web designing,True,Rule 6 (Invalid title)
374,intern health fitness,trainee,True,Rule 6 (Invalid title)
375,middle testing,lead testing,True,Rule 3 (Exact / near match)
376,middle database,lead,True,Rule 6 (Invalid title)
377,senior advocate,lead web designing,True,Rule 6 (Invalid title)
378,senior database,sr dotnet developer,True,Rule 6 (Invalid title)
379,database,jr hr,True,Rule 6 (Invalid title)
380,jr developer,lead hr,True,Rule 6 (Invalid title)
381,mid civil engineer,junior blockchain,True,Rule 6 (Invalid title)
382,middle n/a,intern health fitness,True,Rule 6 (Invalid title)
383,senior developer,trainee database,True,Rule 6 (Invalid title)
384,automation testing,jr developer,True,Rule 6 (Invalid title)
385,senior operations manager,middle hr,True,Rule 6 (Invalid title)
386,middle developer,intern testing,True,Rule 6 (Invalid title)
387,sr blockchain,lead developer,True,Rule 6 (Invalid title)
388,mid automation testing,intern dotnet developer,True,Rule 6 (Invalid title)
389,junior operations manager,lead testing,True,Rule 6 (Invalid title)
390,middle civil engineer,mid sales,True,Rule 6 (Invalid title)
391,database,junior civil engineer,True,Rule 6 (Invalid title)
392,jr sales,intern mechanical engineer,True,Rule 6 (Invalid title)
393,senior mechanical engineer,senior testing,True,Rule 6 (Invalid title)
394,jr health fitness,mid n/a,True,Rule 6 (Invalid title)
395,senior health fitness,mid blockchain,True,Rule 6 (Invalid title)
396,data science,senior mechanical engineer,True,Rule 6 (Invalid title)
397,jr,middle network security engineer,True,Rule 6 (Invalid title)
398,intern database,trainee advocate,True,Rule 6 (Invalid title)
399,middle network security engineer,lead,True,Rule 6 (Invalid title)
400,middle data science,sr hr,True,Rule 6 (Invalid title)
401,intern advocate,lead health fitness,True,Rule 6 (Invalid title)
402,junior,trainee sales,True,Rule 6 (Invalid title)
403,jr sales,sr business analyst,True,Rule 6 (Invalid title)
404,mid arts,intern automation testing,True,Rule 6 (Invalid title)
405,jr testing,trainee dotnet developer,True,Rule 6 (Invalid title)
406,senior civil engineer,intern n/a,True,Rule 6 (Invalid title)
407,arts,senior mechanical engineer,True,Rule 6 (Invalid title)
408,intern advocate,junior blockchain,True,Rule 6 (Invalid title)
409,,senior mechanical engineer,True,Rule 6 (Invalid title)
410,junior dotnet developer,lead web designing,True,Rule 6 (Invalid title)
411,lead,lead network security engineer,True,Rule 6 (Invalid title)
412,jr blockchain,senior business analyst,True,Rule 6 (Invalid title)
413,mid sales,sr business analyst,True,Rule 6 (Invalid title)
414,intern business analyst,lead business analyst,True,Rule 3 (Exact / near match)
415,automation testing,senior health fitness,True,Rule 6 (Invalid title)
416,middle n/a,lead health fitness,True,Rule 6 (Invalid title)
417,middle data science,sr testing,True,Rule 6 (Invalid title)
418,jr business analyst,middle data science,True,Rule 6 (Invalid title)
419,middle business analyst,intern data science,True,Rule 6 (Invalid title)
420,sr operations manager,junior database,True,Rule 6 (Invalid title)
421,middle dotnet developer,middle testing,True,Rule 6 (Invalid title)
422,mid network security engineer,intern n/a,True,Rule 6 (Invalid title)
423,middle devops engineer,lead database,True,Rule 6 (Invalid title)
424,mid automation testing,trainee n/a,True,Rule 6 (Invalid title)
425,middle web designing,mid sales,True,Rule 6 (Invalid title)
426,jr database,jr dotnet developer,True,Rule 6 (Invalid title)
427,jr developer,intern database,True,Rule 6 (Invalid title)
428,mid blockchain,trainee automation testing,True,Rule 6 (Invalid title)
429,mid dotnet developer,intern automation testing,True,Rule 6 (Invalid title)
430,jr mechanical engineer,middle,True,Rule 6 (Invalid title)
431,middle business analyst,junior,True,Rule 6 (Invalid title)
432,mid health fitness,sr testing,True,Rule 6 (Invalid title)
433,,mechanical engineer,True,Rule 6 (Invalid title)
434,middle database,intern blockchain,True,Rule 6 (Invalid title)
435,middle,mid business analyst,True,Rule 6 (Invalid title)
436,senior sales,sr testing,True,Rule 6 (Invalid title)
437,intern web designing,trainee automation testing,True,Rule 6 (Invalid title)
438,middle hr,sr health fitness,True,Rule 6 (Invalid title)
439,intern testing,trainee civil engineer,True,Rule 6 (Invalid title)
440,intern arts,intern automation testing,True,Rule 6 (Invalid title)
441,intern arts,sr database,True,Rule 6 (Invalid title)
442,senior web designing,mid hr,True,Rule 6 (Invalid title)
443,junior,lead mechanical engineer,True,Rule 6 (Invalid title)
444,sr,trainee arts,True,Rule 6 (Invalid title)
445,jr automation testing,mid,True,Rule 6 (Invalid title)
446,network security engineer,senior data science,True,Rule 6 (Invalid title)
447,senior blockchain,sr advocate,True,Rule 6 (Invalid title)
448,junior web designing,trainee civil engineer,True,Rule 6 (Invalid title)
449,middle automation testing,sr dotnet developer,True,Rule 6 (Invalid title)
450,testing,trainee n/a,True,Rule 6 (Invalid title)
451,senior data science,junior operations manager,True,Rule 6 (Invalid title)
452,middle dotnet developer,sr automation testing,True,Rule 6 (Invalid title)
453,senior database,trainee,True,Rule 6 (Invalid title)
454,jr blockchain,intern hr,True,Rule 6 (Invalid title)
455,jr arts,mid network security engineer,True,Rule 6 (Invalid title)
456,database,senior automation testing,True,Rule 6 (Invalid title)
457,arts,intern n/a,True,Rule 6 (Invalid title)
458,senior hr,lead arts,True,Rule 6 (Invalid title)
459,sr sales,lead n/a,True,Rule 6 (Invalid title)
460,automation testing,junior database,True,Rule 6 (Invalid title)
461,intern automation testing,lead advocate,True,Rule 6 (Invalid title)
462,mid developer,junior arts,True,Rule 6 (Invalid title)
463,jr operations manager,middle health fitness,True,Rule 6 (Invalid title)
